trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",25,0,-192.28698801541225,"{0: 15, 1: 2, 2: 4, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.990025}",20,0,-146.99002145237563,"{0: 13, 1: 2, 2: 1, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.985074875}",35,0,-132.2739573098597,"{0: 23, 1: 1, 2: 8, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.9801495006250001}",30,0,-204.45684265133562,"{0: 16, 1: 1, 2: 10, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 0.9752487531218751}",20,0,-113.44920454047322,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.9703725093562657}",20,0,-193.2781417706924,"{0: 9, 1: 3, 2: 3, 3: 2, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.9655206468094844}",25,0,-60.455281720026186,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.960693043575437}",20,0,-245.82746968233894,"{0: 10, 1: 0, 2: 4, 3: 1, 4: 5}",0
9,False,"{'a': 0.5, 'e': 0.9558895783575597}",30,0,-152.84054168693518,"{0: 19, 1: 1, 2: 7, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.9511101304657719}",25,0,-214.27541139712866,"{0: 12, 1: 4, 2: 5, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.946354579813443}",20,0,-97.63398304167207,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9416228069143757}",20,0,-63.31154493197427,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9369146928798039}",20,0,-106.17513712371384,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9322301194154049}",25,0,-110.15542678370315,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9275689688183278}",30,0,-214.75444364254147,"{0: 18, 1: 3, 2: 4, 3: 1, 4: 4}",0
16,False,"{'a': 0.5, 'e': 0.9229311239742362}",30,0,-211.21973552270654,"{0: 16, 1: 0, 2: 10, 3: 1, 4: 3}",0
17,False,"{'a': 0.5, 'e': 0.918316468354365}",20,13,-1.5694342449882877,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.9137248860125932}",35,0,-310.4271082977428,"{0: 19, 1: 2, 2: 7, 3: 1, 4: 6}",0
19,False,"{'a': 0.5, 'e': 0.9091562615825302}",20,0,-94.76077960869003,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.9046104802746175}",25,0,-161.50211361907742,"{0: 14, 1: 1, 2: 7, 3: 1, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.9000874278732445}",20,0,-29.790025713159242,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.8955869907338783}",30,5,-198.43818243890655,"{0: 13, 1: 3, 2: 4, 3: 2, 4: 3}",1
23,False,"{'a': 0.5, 'e': 0.8911090557802088}",20,0,-98.94694316212943,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
24,False,"{'a': 0.5, 'e': 0.8866535105013078}",20,0,-51.5168581606302,"{0: 16, 1: 2, 2: 0, 3: 1, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.8822202429488013}",30,0,-85.35987316683585,"{0: 21, 1: 4, 2: 3, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.8778091417340573}",25,0,-105.01864742789473,"{0: 15, 1: 4, 2: 2, 3: 4, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.8734200960253871}",30,0,-144.48035399046424,"{0: 18, 1: 5, 2: 4, 3: 1, 4: 2}",0
28,False,"{'a': 0.5, 'e': 0.8690529955452602}",20,0,-103.2932907188822,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
29,False,"{'a': 0.5, 'e': 0.8647077305675338}",25,0,-205.34856578280804,"{0: 12, 1: 4, 2: 4, 3: 2, 4: 3}",0
30,False,"{'a': 0.5, 'e': 0.8603841919146962}",35,3,-104.86775382160786,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 2}",1
31,False,"{'a': 0.5, 'e': 0.8560822709551227}",35,0,-141.06480850416875,"{0: 24, 1: 6, 2: 2, 3: 0, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.851801859600347}",20,0,-34.678817725329296,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.8475428503023453}",25,8,-10.638149558343697,"{0: 14, 1: 2, 2: 0, 3: 1, 4: 0}",1
34,False,"{'a': 0.5, 'e': 0.8433051360508336}",30,0,-116.09700703107087,"{0: 22, 1: 1, 2: 5, 3: 0, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.8390886103705794}",25,0,-219.12341922607183,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 5}",1
36,False,"{'a': 0.5, 'e': 0.8348931673187264}",20,0,-38.70061614882456,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.8307187014821328}",20,0,-81.27809565025139,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
38,False,"{'a': 0.5, 'e': 0.8265651079747222}",30,0,-207.2716834259354,"{0: 16, 1: 5, 2: 4, 3: 2, 4: 3}",0
39,False,"{'a': 0.5, 'e': 0.8224322824348486}",20,9,-70.80162021126226,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.8183201210226743}",20,0,-74.12193025267246,"{0: 10, 1: 5, 2: 4, 3: 1, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.8142285204175609}",20,12,-43.0949596859166,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
