trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-83.7473889512882,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-196.32532144236012,"{0: 15, 1: 1, 2: 5, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-173.99396117690205,"{0: 10, 1: 7, 2: 5, 3: 1, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-117.54142854743506,"{0: 12, 1: 2, 2: 2, 3: 3, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-160.2408071148827,"{0: 12, 1: 3, 2: 6, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-45.77340360016559,"{0: 15, 1: 3, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-147.40639437128613,"{0: 14, 1: 3, 2: 5, 3: 1, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-218.16550065614186,"{0: 13, 1: 4, 2: 3, 3: 1, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-105.43220457392202,"{0: 14, 1: 3, 2: 6, 3: 2, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,0,-59.22520710545376,"{0: 14, 1: 0, 2: 4, 3: 2, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-107.10982580656473,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-66.49800297998694,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",30,0,-181.90583852405885,"{0: 15, 1: 4, 2: 8, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-127.32111424734454,"{0: 10, 1: 4, 2: 4, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-185.09634970437085,"{0: 10, 1: 2, 2: 3, 3: 2, 4: 3}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",30,12,-86.12846549481874,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 1}",1
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",25,0,-90.02424454080631,"{0: 15, 1: 2, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,10,-35.32844246232028,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-96.76895580042304,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-159.8725372007537,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
1,True,"{'a': 0, 'e': 0}",30,1,-210.9536069538839,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 4}",1
2,True,"{'a': 0, 'e': 0}",35,5,-311.48863043967384,"{0: 10, 1: 4, 2: 11, 3: 0, 4: 5}",1
3,True,"{'a': 0, 'e': 0}",25,0,-127.86096694959612,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
4,True,"{'a': 0, 'e': 0}",35,0,-140.93105526062146,"{0: 20, 1: 3, 2: 10, 3: 2, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",25,0,-118.05967682987354,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,0,-137.64361176310646,"{0: 14, 1: 4, 2: 5, 3: 0, 4: 2}",0
7,True,"{'a': 0, 'e': 0}",25,0,-260.16475386308207,"{0: 10, 1: 3, 2: 5, 3: 4, 4: 3}",0
8,True,"{'a': 0, 'e': 0}",25,20,9.705288069748802,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,0,-146.7313289283681,"{0: 14, 1: 2, 2: 7, 3: 0, 4: 2}",0
10,True,"{'a': 0, 'e': 0}",20,0,-153.79446185933608,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
